,gameID,playerID,decision,savePercentage,PPSave%,evenSave%,play_id,strength,gameWinningGoal,emptyNet,PKSavePercentage
8768,2014020316.0,8474636.0,W,94.11764706,90.90909091,95.45454545,2017021163_181,Power Play,False,False,100.0
8766,2014020970.0,8473461.0,L,91.89189189,77.77777778,96.2962963,2017021163_105,Power Play,False,False,100.0
8765,2014021145.0,8473503.0,W,97.56097561,80.0,100.0,2017021163_59,Even,False,False,100.0
8763,2014020884.0,8467972.0,W,91.30434783,100.0,89.47368421,2017021163_22,Even,False,False,100.0
8762,2014020884.0,8474651.0,L,89.28571429,60.0,95.45454545,2016020009_351,Even,False,True,100.0
8900,2014020514.0,8473523.0,W,91.66666667,100.0,90.32258065,2017020563_278,Power Play,True,False,100.0
8905,2014020183.0,8473503.0,L,90.90909091,100.0,88.88888889,2016020585_12,Even,False,False,100.0
8906,2014020183.0,8469608.0,W,93.33333333,71.42857143,100.0,2016020585_213,Even,False,False,100.0
8998,2014021064.0,8470657.0,L,93.5483871,100.0,92.0,2017020305_71,Even,False,False,100.0
9012,2014020115.0,8469608.0,W,95.83333333,100.0,95.23809524,2016021222_247,Even,False,False,100.0
9010,2014020459.0,8471469.0,W,94.28571429,100.0,92.85714286,2016021222_115,Even,False,False,100.0
9009,2014020459.0,8471695.0,L,95.0,80.0,97.05882353,2016021222_56,Even,False,False,100.0
9004,2014020638.0,8475215.0,L,82.75862069,66.66666667,84.0,2015020636_71,Even,False,False,100.0
5831,2016021189.0,8476434.0,W,96.2962963,100.0,95.0,2015020955_115,Even,False,False,100.0
9001,2014020343.0,8470140.0,L,85.29411765,100.0,83.87096774,2017020305_318,Power Play,False,False,100.0
5833,2017020125.0,8475215.0,W,100.0,100.0,100.0,2015020955_179,Short Handed,False,False,100.0
8995,2014021207.0,8466141.0,W,94.44444444,83.33333333,96.55172414,2017020246_171,Power Play,False,False,100.0
9025,2014020252.0,8469548.0,L,78.57142857,62.5,84.21052632,2015020458_210,Even,False,False,100.0
8993,2014020555.0,8473972.0,W,85.0,75.0,85.71428571,2017020246_93,Even,False,False,100.0
8991,2014020647.0,8467950.0,W,96.15384615,100.0,94.44444444,2017020246_16,Even,True,False,100.0
5838,2016020992.0,8471306.0,W,92.30769231,100.0,90.625,2015020955_259,Power Play,False,False,100.0
5839,2016020992.0,8468011.0,L,85.71428571,100.0,81.81818182,2015020955_281,Even,False,True,100.0
8990,2014020647.0,8474682.0,L,91.17647059,100.0,88.88888889,2015021091_269,Even,True,False,100.0
